signal;N_sens;arch;test_id;sim_time_s;spikes_per_s;mean_amp_corr;mean_freq_corr;mean_plv;mean_phase_deg;rmse_ref_o1;rmse_o1_g
oscillator;360;PC-EC;5;1,2762576999994053;22203,666666666668;0,9909038263480303;0,9826594153774051;0,9999811253600244;2,701850551070109;1,179722567276977;0,04219689463951657
oscillator;360;PC-SC;5;1,7041630249987065;24004,3;0,9961262476770136;0,992542025738191;0,9999931224574052;2,9860990001147076;1,179722567276977;0,046086579918030744
oscillator;360;PC-EC;6;1,2633499760013365;20845,133333333335;0,9973476919185307;0,9986571917257946;0,9999643208741736;2,8637235295502044;0,43613143668627946;0,039638564559206134
oscillator;360;PC-SC;6;1,668164329001229;22562,7;0,9943203551120222;0,9980433864649773;0,9999656167699977;2,428325758268599;0,43613143668627946;0,033926091667065505
oscillator;360;PC-EC;7;1,2639831169999525;21671,0;0,9992229824439471;0,9996638107809691;0,9999906642731669;1,623825648287745;0,4728917767756686;0,024186933521554238
oscillator;360;PC-SC;7;1,6864748360003432;23163,233333333334;0,9986640041713339;0,9993553404777643;0,9999820013480214;2,2474741119132498;0,4728917767756686;0,03323392347107008
oscillator;360;PC-EC;8;1,2689789039995958;20885,4;0,9930902686552172;0,9973701510029316;0,9999426436729834;2,9243855036669286;0,5294619586262365;0,04234508362934104
oscillator;360;PC-SC;8;1,684723768999902;23263,1;0,9990465787825583;0,9995365689600946;0,999987119041395;1,566747308318159;0,5294619586262365;0,022867917974070544
oscillator;360;PC-EC;9;1,28289223000138;21044,133333333335;0,9974736599562746;0,9988228137037702;0,9999715590196201;2,684413255052864;0,4167323993901536;0,039020516371293314
oscillator;360;PC-SC;9;1,673674851001124;23092,566666666666;0,996489631649406;0,9984682873982638;0,9999619910700236;3,0624902626140935;0,4167323993901536;0,04444858292065211
oscillator;360;PC-EC;10;1,247188510000342;21657,666666666668;0,9970313718635249;0,975736826158278;0,9999958852139761;2,488844988836722;0,9739047594502357;0,037821580847636524
oscillator;360;PC-SC;10;1,6488008950000221;22998,866666666665;0,9952212714230342;0,9643866893238235;0,9999936376796598;3,210343794213489;0,9739047594502357;0,048482369112215595
oscillator;410;PC-EC;1;1,2807205069984775;23633,4;0,995849697448608;0,14479849159329633;0,9999465871210871;2,851632599054902;0,8706055610689675;0,04196354687014265
oscillator;410;PC-SC;1;1,7121253999994224;25153,133333333335;0,9959499094641788;0,14447636431220073;0,9999478005887373;2,5976836285099605;0,8706055610689675;0,038313696043276696
oscillator;410;PC-EC;2;1,2935218840011657;23340,666666666668;0,9970075609918629;0,9961707019455137;0,9999190289175086;2,5580321274422757;0,11371758297392641;0,03611377024292736
oscillator;410;PC-SC;2;1,6798150060003536;25163,966666666667;0,9972742147182778;0,9964610025324967;0,9999231677967604;2,4838505254733625;0,11371758297392641;0,035151988573816816
oscillator;410;PC-EC;3;1,2835995099994761;25309,466666666667;0,9984488989869377;0,9995801110006901;0,9999932037721115;1,4274818562809832;0,7270207006651478;0,0220234685557036
oscillator;410;PC-SC;3;1,718672233999314;25973,633333333335;0,9964374467461325;0,9985727463785609;0,9999763782204933;2,5923997197892317;0,7270207006651478;0,03949898860991699
oscillator;410;PC-EC;4;1,2856065430005401;23868,666666666668;0,9963607683007709;0,13434459457113507;0,999987398676629;2,0640679565002538;0,833929040331546;0,02962591109150903
oscillator;410;PC-SC;4;1,6932965649994003;25433,566666666666;0,9948485958519575;0,13456353080931743;0,999982944292485;2,410968885262333;0,833929040331546;0,03444934246739591
oscillator;410;PC-EC;5;1,3842246999993222;23892,333333333332;0,9975320450407925;0,9988149572030625;0,9999724817217902;2,6367020761472326;0,5183798214780678;0,0398450353245682
oscillator;410;PC-SC;5;1,8784750060003716;25708,4;0,9974784297988666;0,9988806925397486;0,9999733801389672;2,5010084751031734;0,5183798214780678;0,037891895483373746
oscillator;410;PC-EC;6;1,2808487580005021;24017,133333333335;0,9986044653296853;0,9992893652105876;0,9999798995317116;1,8848596920768226;0,4977623764769458;0,025795679919789948
oscillator;410;PC-SC;6;1,6836083959988173;25552,833333333332;0,9979097659162808;0,9985919397752151;0,9999573812898392;2,7097281483012297;0,4977623764769458;0,03690416865313603
oscillator;410;PC-EC;7;1,3114898029998585;23227,8;0,9985984533251321;0,9993712782112101;0,9999824668287218;2,0829747430573855;0,415673747609946;0,029949792407397587
oscillator;410;PC-SC;7;1,7486443020006845;24722,333333333332;0,9987801944269404;0,9994665663895443;0,9999852224194853;1,9012269178140977;0,415673747609946;0,02742420264393387
oscillator;410;PC-EC;8;1,3241748829987046;23479,866666666665;0,9971074564880309;0,9985714970952797;0,9999699745354733;2,705684848878431;0,4692892374042712;0,03856318698148326
oscillator;410;PC-SC;8;1,7668216040001425;25724,833333333332;0,9982476013796668;0,9991814269630461;0,9999818342202053;2,1340830833072397;0,4692892374042712;0,03059718119340982
oscillator;410;PC-EC;9;1,3781320689995482;23725,2;0,9975521138037287;0,9987731952273319;0,9999708312585663;2,7471307951685113;0,46198243833162006;0,03977559378237099
oscillator;410;PC-SC;9;1,8306785259992466;25298,333333333332;0,9970409877801163;0,9984734452129913;0,9999628919261062;3,0788891713730697;0,46198243833162006;0,044523918874442917
oscillator;410;PC-EC;10;1,3645520840000245;25567,4;0,9963785585708236;0,9937141383381918;0,9999926114998534;2,2310726867199167;1,203308151227872;0,03569741785991197
oscillator;410;PC-SC;10;1,7789954759991815;27588,566666666666;0,9961773701580592;0,9932887012428329;0,9999922716412977;2,2865692505932267;1,203308151227872;0,036494528008177415
oscillator;460;PC-EC;1;1,4181544599996414;27110,933333333334;0,9954246543019191;0,9975929678761725;0,99997449787554;2,6277419957643877;0,799908132390309;0,03945398086371465
oscillator;460;PC-SC;1;1,8457137430013972;28474,933333333334;0,996055909264742;0,9975006266550859;0,9999688464952082;2,861636478560209;0,799908132390309;0,043049795240228665
oscillator;460;PC-EC;2;1,3949015639991558;26234,833333333332;0,9949677385813285;0,13700430126994323;0,9999245813181328;3,1000873243950933;0,8111881760273394;0,04504713672120936
oscillator;460;PC-SC;2;1,842230242000369;27886,833333333332;0,996167557739157;0,13443783049935304;0,999944752097206;2,334674528218687;0,8111881760273394;0,03410080154575324
oscillator;460;PC-EC;3;1,356684544000018;27258,233333333334;0,9965459018597149;0,5486511567665362;0,9999687346020352;2,0118977850583297;0,9480967753841821;0,03047503914471846
oscillator;460;PC-SC;3;1,8492009290002898;28468,266666666666;0,994592320683668;0,40945038812602835;0,9999612326547921;2,777520098596262;0,9480967753841821;0,04180465905581135
oscillator;460;PC-EC;4;1,399764210000285;27271,066666666666;0,9767266284110605;0,919022970087205;0,9999828999661795;3,112074546019323;0,9653182752065665;0,04587445920495061
oscillator;460;PC-SC;4;1,7719196950001788;29277,233333333334;0,9944036870646032;0,972879069318703;0,9999960954786877;2,4614336621095094;0,9653182752065665;0,03620571974940554
oscillator;460;PC-EC;5;1,4086470780002855;27509,566666666666;0,9972144018296571;0,9987807322971618;0,9999785796524384;2,430839460501968;0,40457548397253285;0,03926149693466446
oscillator;460;PC-SC;5;1,8688061290013138;29511,166666666668;0,9963442959383619;0,9983445852062123;0,9999724779675414;2,7017136692199086;0,40457548397253285;0,04364377336132369
oscillator;460;PC-EC;6;1,3531707069996628;27211,266666666666;0,9982233711439176;0,9991994423773131;0,9999843616832352;1,8325350770177098;0,2983232856413675;0,027444217605472703
oscillator;460;PC-SC;6;1,7509169040004053;28652,9;0,997807973034065;0,9989110621139816;0,9999786712190548;2,1561874752935015;0,2983232856413675;0,032192313667359855
oscillator;460;PC-EC;7;1,3330679320006311;26947,933333333334;0,99810823765704;0,9989379399019316;0,9999732961197817;2,5224464194230967;0,48582717613188364;0,0366571883745731
oscillator;460;PC-SC;7;1,7470718469994608;28338,666666666668;0,9968390721419707;0,9981504215590821;0,999950025763054;3,445279330272011;0,48582717613188364;0,04991754997549573
oscillator;460;PC-EC;8;1,3468257749991608;28177,733333333334;0,9945048408952653;0,9888573715865786;0,9999889902827457;2,793194169922529;1,2137520616994844;0,04476211027828652
oscillator;460;PC-SC;8;1,7855597259986098;29765,4;0,9962675196748639;0,9925743002194773;0,9999921075305331;2,2187365972728297;1,2137520616994844;0,03574834226468555
oscillator;460;PC-EC;9;1,3435890939999808;27641,233333333334;0,9985968693392641;0,999153715737514;0,9999861979760625;2,0175322574762387;0,7991479220445188;0,031883135098630645
oscillator;460;PC-SC;9;1,7169486839993624;29288,333333333332;0,9987634458697149;0,9991345562357615;0,9999861398070465;2,0631745702556303;0,7991479220445188;0,03255409711835978
oscillator;460;PC-EC;10;1,319321477001722;25864,0;0,9946445598953041;0,9958801661248238;0,9999130718746637;3,282181724075519;0,17286182473594205;0,04561598621968328
oscillator;460;PC-SC;10;1,7069170470003883;27868,033333333333;0,9974542822854502;0,9979901969563476;0,9999569464688516;2,305738991159028;0,17286182473594205;0,03226216824133325
oscillator;510;PC-EC;1;1,3861546450007154;29275,366666666665;0,9959804425779741;0,9981846739284674;0,9999755913896007;2,6019685546771756;0,7308798708957223;0,037994610628096726
oscillator;510;PC-SC;1;1,7615017589996569;31475,0;0,9959192242519617;0,9981473007641606;0,9999749780603591;2,6550660589593953;0,7308798708957223;0,03877920435483881
oscillator;510;PC-EC;2;1,3591482690007979;29043,866666666665;0,9943014762539615;0,9981640804128955;0,9999638572184175;2,566404974133974;0,437869121616079;0,03777088618997548
oscillator;510;PC-SC;2;1,783766332999221;31307,066666666666;0,9985718479173613;0,9993540119441291;0,9999835217983697;2,0530305244419074;0,437869121616079;0,030130733055766506
oscillator;510;PC-EC;3;1,36861582200072;30348,566666666666;0,9889721592447158;0,9806127922021697;0,9999830408251155;4,2090585704467705;1,1923031000387008;0,065343212160142
oscillator;510;PC-SC;3;1,7623966760002077;32463,966666666667;0,9938488492756956;0,9869384491177627;0,9999891912426735;2,2546446338513433;1,1923031000387008;0,0354542558228465
oscillator;510;PC-EC;4;1,3850222329983808;29804,633333333335;0,9902453906498885;0,9494810263721379;0,9999932584206259;3,140390422487992;0,9653319863353265;0,04659757079544905
oscillator;510;PC-SC;4;1,7850099790011882;32578,866666666665;0,9957841432727761;0,9791283577784339;0,9999972181712111;1,9239514462620368;0,9653319863353265;0,02872002401465514
oscillator;510;PC-EC;5;1,3558062949996383;29800,0;0,9984308782139519;0,14046748373723927;0,9999934021845104;1,5499645245207012;0,8698501122303675;0,023141127082104154
oscillator;510;PC-SC;5;1,8012698929996986;31169,966666666667;0,9970289384953167;0,14291612862625153;0,999985982538492;2,331153795262649;0,8698501122303675;0,03451123419935427
oscillator;510;PC-EC;6;1,3759732750004332;30074,066666666666;0,9965164133301166;0,9772352854186984;0,9999957600272849;2,6617362193283696;1,1452065633812991;0,040610716356581374
oscillator;510;PC-SC;6;1,7903198889998748;31862,766666666666;0,9823622105663093;0,9449413265133484;0,9999805442339753;2,077865478091394;1,1452065633812991;0,03231119767523958
oscillator;510;PC-EC;7;1,3613862409983994;28786,266666666666;0,9976648318701167;0,9950300160858092;0,9999049053010473;2,1805159193283803;0,08642855639256619;0,02956891769120968
oscillator;510;PC-SC;7;1,7684733890000643;30057,766666666666;0,9955786759372691;0,9903380208618042;0,9998241850983169;3,1069304709962253;0,08642855639256619;0,0418535510010341
oscillator;510;PC-EC;8;1,3527877450014785;28930,733333333334;0,9977303143527148;0,9986227780991102;0,9999710329451423;1,9538253568246402;0,17843131594468475;0,02750143256425247
oscillator;510;PC-SC;8;1,763341099000172;30174,866666666665;0,9984494423768142;0,9989254037149731;0,9999771040670978;1,7668941506512796;0,17843131594468475;0,024892858707313104
oscillator;510;PC-EC;9;1,3702409439993062;30081,933333333334;0,9966714241045918;0,9980926277309281;0,9999732697143522;2,9291747271375295;0,7468479080317688;0,04415946139695497
oscillator;510;PC-SC;9;1,773070696999639;32287,933333333334;0,9984857365068367;0,9993611091203815;0,999991675450076;1,7374622956221732;0,7468479080317688;0,026473961062809404
oscillator;510;PC-EC;10;1,3923508520001633;27761,033333333333;0,9971446243133677;0,9982116860429417;0,9999614339397654;2,357817438957408;0,20085001483775308;0,03188031054690982
oscillator;510;PC-SC;10;1,81282520700006;28643,266666666666;0,9920792749165649;0,9944125459069182;0,9998652096845775;4,320612634804532;0,20085001483775308;0,05796919211942319
oscillator;560;PC-EC;1;1,3771909429997322;30897,4;0,9984065387702304;0,999169526772374;0,9999794533014823;1,9131252133351255;0,2523282274237165;0,026097596492612146
oscillator;560;PC-SC;1;1,7959229579992098;32441,8;0,9976935527282027;0,9988765869027152;0,9999724509162882;2,200818522088942;0,2523282274237165;0,029919018001514256
oscillator;560;PC-EC;2;1,368141947001277;30001,5;0,993006442141496;0,9953893358638259;0,9998909327381859;4,001044663840053;0,20054823010264972;0,05502982088280541
oscillator;560;PC-SC;2;1,8092079750003904;32377,966666666667;0,9974890846538054;0,9984428806669514;0,9999640539416254;2,2996690406935922;0,20054823010264972;0,031899892623190686
oscillator;560;PC-EC;3;1,3778002849994664;30544,666666666668;0,9975548530869147;0,9989201896046391;0,9999728579016949;2,4961792589198093;0,329028465577959;0,034755153499548025
oscillator;560;PC-SC;3;1,8206408540008852;32788,4;0,9977585096756563;0,9990243320363659;0,9999762881775588;2,3398355602588587;0,329028465577959;0,03259003698544814
oscillator;560;PC-EC;4;1,3880920339997829;31952,133333333335;0,9856103121178166;0,1287705710008928;0,9999553301998092;2,1750957346336417;0,8258482666072418;0,03132031900799773
oscillator;560;PC-SC;4;1,783381871999154;32993,36666666667;0,9944287828225173;0,13352998663559768;0,9999569356402203;2,490582436670653;0,8258482666072418;0,03550910396887744
