signal,param,value,arch,seed,N_sens,mean_amp_corr,mean_freq_corr,mean_plv,mean_phase_deg,rmse_o1_g,rmse_ref_o1,rmse_ref_g,conv_threshold_time_s,conv_settle_time_s,conv_reached_threshold,steady_err_o1_g,sim_time_s,sim_python_peak_mem_mb,sim_rss_peak_delta_mb,train_time_s
oscillator,eta,0.0001,PC-EC,0,20,0.7782933847672202,0.051848696975633435,0.9975831385743053,25.468232936226812,0.30287408258914994,0.19664340226687707,0.466629355044622,,0.47600000000000003,False,0.42351735729382506,4.4944072290018084,17.555514335632324,1.765625,0.9347169290012971
oscillator,eta,0.0001,PC-SC,0,20,0.6955452680979787,0.050262179151211506,0.9969211281519793,30.29025971419484,0.35505547463201387,0.19664340226687707,0.5101401642023726,,0.279,False,0.4944427428107478,6.596900041997287,25.149816513061523,6.45703125,0.9347169290012971
oscillator,eta,0.0001,PC-EC,1,20,0.9155038916400291,0.8267896560416667,0.9995035557327849,23.375756369701637,0.23252667340540575,0.8988952223651023,0.9861188895797731,,6.122,False,0.32391810762078593,4.582406767000066,16.78469944000244,1.19140625,0.8988812490024429
oscillator,eta,0.0001,PC-SC,1,20,0.9358570467486494,0.8614359073322588,0.9995963120930929,19.466549010920577,0.19609431813760753,0.8988952223651023,0.9814631572496523,,6.056,False,0.27431570063270705,6.6942638670007,24.362882614135742,5.80078125,0.8988812490024429
oscillator,eta,0.0001,PC-EC,2,20,0.8803021795453543,-0.8119256575524998,0.9969826036779121,24.49207251502831,0.2925070753429829,0.4657673143341868,0.700128587885702,,0.508,False,0.4120615913950836,4.438158921999275,17.73092746734619,1.8125,0.9349177250005596
oscillator,eta,0.0001,PC-SC,2,20,0.9154824897480971,-0.8179097718236115,0.9976508448527839,20.337601313308014,0.24534700498499978,0.4657673143341868,0.6666673232587734,,0.862,False,0.34608924402212576,7.056807975997799,23.744260787963867,5.62890625,0.9349177250005596
oscillator,eta,0.0001,PC-EC,3,20,0.8472755844529033,-0.7044309620998901,0.9962818470763231,29.872889268449192,0.33882797976542095,0.4629445343351785,0.7155236892817833,,0.343,False,0.4752755024169142,4.63440359499873,16.752714157104492,1.38671875,0.9194178949983325
oscillator,eta,0.0001,PC-SC,3,20,0.8848448448100049,-0.7148458518292504,0.9968657296869022,24.324488763980604,0.28100098917164235,0.4629445343351785,0.6777129768914046,,0.682,False,0.3951299667588893,7.294229736999114,24.867490768432617,6.19140625,0.9194178949983325
oscillator,eta,0.0001,PC-EC,4,20,0.7290065249831753,0.6888779727816042,0.9998159024045639,29.919306687336544,0.3381459890382926,0.8587204431591191,0.6453594212860478,,0.293,False,0.47352881071576286,4.354571402000147,16.486512184143066,1.16796875,0.9538458479983092
oscillator,eta,0.0001,PC-SC,4,20,0.6954800967539723,0.6690166266069468,0.9997961894659875,31.083453555607118,0.35043817958159607,0.8587204431591191,0.6391692074768528,,0.259,False,0.4922754307638443,6.492285065000033,24.059415817260742,5.85546875,0.9538458479983092
oscillator,eta,0.0001,PC-EC,5,20,0.6856807584953267,-0.7073959200397639,0.9968213719898484,34.76316598229061,0.45641346716151815,0.5985566610655327,0.8559794280926907,,0.123,False,0.638986072713022,4.616337338000449,16.956215858459473,1.55859375,0.9423834869994607
oscillator,eta,0.0001,PC-SC,5,20,0.7167865637122932,-0.7175700031880357,0.997103630400146,30.438757799515905,0.4045941643343211,0.5985566610655327,0.8257855554716126,,0.18,False,0.562058231235036,6.990139937999629,24.826139450073242,6.421875,0.9423834869994607
oscillator,eta,0.0001,PC-EC,6,20,0.9144991667974516,-0.7960273998280185,0.9983212006945976,19.505397126956286,0.2376244405608737,0.5577409504877844,0.7326158356468079,,0.841,False,0.3349703208460088,4.618344991999038,18.24228000640869,1.93359375,0.9221352960012155
oscillator,eta,0.0001,PC-SC,6,20,0.6999261957712499,-0.7216056263579227,0.9973708838408735,34.80375806012946,0.4052368928877231,0.5577409504877844,0.8216186416801735,,0.17300000000000001,False,0.5670842484884976,7.0025449710010435,24.114988327026367,5.9765625,0.9221352960012155
oscillator,eta,0.0001,PC-EC,7,20,0.9735548215822267,0.8297881498619359,0.9998014532699884,20.995345011704714,0.21533247701293548,0.8211657585866632,0.8923262895194108,,10.747,False,0.2839064423237991,5.070914524996624,17.32275676727295,1.56640625,0.9935889369990036
oscillator,eta,0.0001,PC-SC,7,20,0.941812625273991,0.6522135488101961,0.9992946915806104,48.28590537034708,0.44603973027115856,0.8211657585866632,0.8849105664539165,,11.587,False,0.5817225207365843,6.458196695999504,21.832711219787598,4.2421875,0.9935889369990036
oscillator,eta,0.0001,PC-EC,8,20,0.7909747480476343,0.9257011299272065,0.999176440185954,22.022626416513607,0.26280804038060845,0.6981160842875862,0.8636328199700147,,0.8290000000000001,False,0.36834417713993817,4.27562676800153,18.098783493041992,1.0625,0.962633671999356
oscillator,eta,0.0001,PC-SC,8,20,0.7871045121502822,0.9109026989829996,0.9991536136925563,24.01292910408883,0.28502830270123014,0.6981160842875862,0.8749328194343525,,0.634,False,0.39948617473900455,7.209102370001347,24.857725143432617,5.40234375,0.962633671999356
oscillator,eta,0.0001,PC-EC,9,20,0.7587301560783042,0.0679530543707238,0.9976840257962759,25.557893144516903,0.302754999572266,0.1519522871775245,0.432639577102261,,0.5630000000000001,False,0.4226539312746129,5.231896965000487,18.147218704223633,1.19921875,0.9385116140001628
oscillator,eta,0.0001,PC-SC,9,20,0.7733405893718139,0.05678746074673102,0.9978784232237103,23.0510723020296,0.27515712003246146,0.1519522871775245,0.4068645789079664,,0.739,False,0.3839598038849743,6.220762402001128,25.741247177124023,5.7578125,0.9385116140001628
oscillator,eta,0.001,PC-EC,0,20,0.995376357442196,0.9971729012129171,0.9999528686264382,2.3434025042472997,0.029424581783977326,0.19664340226687707,0.2221853368091712,1.09,1.09,True,0.04166103893982704,4.699026490998222,17.07648277282715,0.41796875,0.9347169290012971
oscillator,eta,0.001,PC-SC,0,20,0.9932229826347821,0.9958393324900476,0.9999267158976237,2.956852960991954,0.03705074351355097,0.19664340226687707,0.22897698466614133,,1.085,False,0.05246151209630282,7.388551264000853,23.874967575073242,4.59765625,0.9347169290012971
oscillator,eta,0.001,PC-EC,1,20,0.9975223216264687,0.9913608117698782,0.9999830964762075,2.0876258963801932,0.022018597612382736,0.8988952223651023,0.911158721458343,1.084,5.372,True,0.030899388573865653,4.8708438700014085,15.637685775756836,0.38671875,0.8988812490024429
oscillator,eta,0.001,PC-SC,1,20,0.998150948711749,0.9933251328791086,0.9999874004501782,1.6593553345259524,0.01757051148219651,0.8988952223651023,0.9087126925801441,1.075,5.355,True,0.02466109334388383,6.549744725001801,23.260014533996582,3.05078125,0.8988812490024429
oscillator,eta,0.001,PC-EC,2,20,0.9973312830039691,0.9988485922973618,0.9999694534794121,2.1377033983485747,0.02674965025888955,0.4657673143341868,0.4890618390186497,1.086,1.092,True,0.037846393789281764,4.501665398001933,16.953458786010742,0.9375,0.9349177250005596
oscillator,eta,0.001,PC-SC,2,20,0.9978951840464823,0.9991458511139039,0.9999793977419451,1.7107109029537022,0.021476376360095594,0.4657673143341868,0.4844587326689783,1.076,1.091,True,0.030386279961189217,6.34895257700191,21.733884811401367,1.23046875,0.9349177250005596
oscillator,eta,0.001,PC-EC,3,20,0.9964453135765403,0.9978185331705178,0.9999532936222877,2.8557139103659894,0.03476393717598729,0.4629445343351785,0.4912974795432365,5.8100000000000005,1.089,True,0.04928113147637194,5.350440024998534,16.279695510864258,0.0,0.9194178949983325
